goTerm,Biological.function,Cluster.number,pvalue,size,Genes
GO:0038093,Fc receptor signaling pathway ,Cluster_4,0.000109014,28,ITK;PIGR;UBE2D1;PSMD8;IKBKB;PSMD9;PSMD7;PSMD4;PSMD5;PSMD2;PSMD3;PSMD1;IKBKG;BTRC;MAP3K7;SKP1;MAP2K4;SYK;CHUK;VAV1;VAV2;PSMA5;PSMA6;PSMA3;PSMA4;PIK3CA;PSMA1;PSMA2;PSME3;TRAF6;PSME4;PSME1;PSME2;SOS1;UBA52;PSMD10;PSMD12;PSMD13;CUL1;PIK3R2;PIK3R1;BCL10;PSMB10;PSMA7;PSMA8;PSMB6;PPP3R1;NRAS;PSMB4;PSMB5;UBB;PSMB3;UBC;PSMB1;MAPK1;MAP2K7;RPS27A;MAPK3;LYN;NFATC1;NFKB1;PSMB8;MAPK10;FER;PSMC5;TEC;PSMC3;PSMC4;PSMC1;PSMC2;TAB3;KRAS;TAB1;CALM1;LAT;CALM1;MAPK3;PSMA2;PSMA4;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB10;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMC2;PSMC3;PSMC4;PSMD10;PSMD13;PSMD3;PSMD4;PSMD8;PSME1;RPS27A;UBA52;UBB;UBC
GO:0038095,Fc-epsilon receptor signaling pathway ,Cluster_4,8.29E-05,28,ITK;UBE2D1;PSMD8;IKBKB;PSMD9;PSMD7;PSMD4;PSMD5;PSMD2;PSMD3;PSMD1;IKBKG;BTRC;MAP3K7;SKP1;MAP2K4;SYK;CHUK;VAV1;VAV2;PSMA5;PSMA6;PSMA3;PSMA4;PIK3CA;PSMA1;PSMA2;PSME3;TRAF6;PSME4;PSME1;PSME2;SOS1;UBA52;PSMD10;PSMD12;PSMD13;CUL1;PIK3R2;PIK3R1;BCL10;PSMB10;PSMA7;PSMA8;PSMB6;PPP3R1;NRAS;PSMB4;PSMB5;UBB;PSMB3;UBC;PSMB1;MAPK1;MAP2K7;RPS27A;MAPK3;LYN;NFATC1;NFKB1;PSMB8;MAPK10;FER;PSMC5;TEC;PSMC3;PSMC4;PSMC1;PSMC2;TAB3;KRAS;TAB1;CALM1;LAT;CALM1;MAPK3;PSMA2;PSMA4;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB10;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMC2;PSMC3;PSMC4;PSMD10;PSMD13;PSMD3;PSMD4;PSMD8;PSME1;RPS27A;UBA52;UBB;UBC
GO:0038127,ERBB signaling pathway ,Cluster_3,0.000734859,15,PIGR;DGKD;CBLB;PIK3C2A;EPS8;RPS6KA5;EFEMP1;NCK2;AKT1;PLCE1;CPNE3;HSP90AA1;MATK;PRKCA;NRG2;EREG;BTC;ADAM17;PIK3CA;CDC37;SOS1;UBA52;HBEGF;CUL5;PXN;IQGAP1;PIK3R1;CBL;EGFR;NRAS;UBB;UBC;ABL1;ABL2;PTK2B;MAPK1;CSK;RPS27A;PAG1;FAM83B;FAM83A;PTPN18;TGFB1;STYK1;PTPN11;PTPN12;PTK2;VIL1;KRAS;STUB1;BCAR1;ABL1;CBLB;DGKD;EGFR;FAM83B;KRAS;NRG2;PIK3C2A;PRKCA;PTK2;PTK2B;PXN;RPS6KA5;SOS1;STYK1
GO:0038179,neurotrophin signaling pathway ,Cluster_8,0.008053561,5,NGFR;RAP1A;ZFYVE27;SORT1;BDNF;KIDINS220;NTF3;DDIT4;RAPGEF1;RAPGEF2;BCAR1;KIDINS220;RAPGEF1;RAPGEF2;SORT1;ZFYVE27
GO:0039702,viral budding via host ESCRT complex ,Cluster_1,0.002122554,8,TSG101;VPS4B;VPS4A;VPS37A;CHMP1B;CHMP1A;CHMP2B;CHMP2A;CHMP4C;MVB12A;CHMP3;CHMP4B;CHMP4A;CHMP6;CHMP7;VPS28;CHMP1A;CHMP1B;CHMP3;CHMP7;MVB12A;TSG101;VPS4A;VPS4B
GO:0040013,negative regulation of locomotion ,Cluster_1,0.009973986,7,CCDC125;TACSTD2;FBLN1;SPINT2;TRIM8;FRMD5;TRIM28;TRIM13;TRIM35;CHMP3;PIN1;TRIM15;TRIM21;CRK;PTPN2;TRIM11;CHMP3;CRK;PIN1;SPINT2;TRIM21;TRIM28;TRIM8
GO:0042060,wound healing ,Cluster_8,0.004276412,8,SCARB1;PDGFRA;MACF1;TGFB2;SMAD3;SRF;WNT5A;MYOF;TPM1;MIA3;PRCP;FGF2;TGFBR1;CORO1B;EREG;DCBLD2;C6ORF89;NF1;HMOX1;EPPK1;HPSE;KRT6A;DCBLD2;EPPK1;EREG;FGF2;MYOF;SCARB1;SRF;TPM1
GO:0042116,macrophage activation ,Cluster_5,0.001015224,5,SBNO2;EDN2;CRTC3;SYK;MAPT;LBP;CLU;FOXP1;SNCA;FOXP1;LBP;MAPT;SBNO2;SNCA
GO:0042147,"retrograde transport, endosome to Golgi ",Cluster_1,0.00785688,14,VPS29;TMEM87A;TMEM87B;DCTN1;CLTC;ARL1;RHOBTB3;FAM109B;FAM109A;VPS26A;VPS26B;STX10;CLN5;SNX2;VPS51;VPS52;CLTCL1;VTI1A;ANKFY1;VPS54;VPS35;ERC1;YKT6;EVI5;RAB6B;TBC1D10A;PLEKHJ1;TBC1D10B;VTI1B;SNX6;RAB6C;TRAPPC10;GBF1;ZFYVE21;BET1L;PIKFYVE;EHD3;HEATR5A;HEATR5B;UBE2O;RAB9A;TBC1D23;VAMP3;ARL1;BET1L;DCTN1;PLEKHJ1;TBC1D10B;VAMP3;VPS26B;VPS29;VPS35;VPS51;VPS52;VTI1B;YKT6;ZFYVE21
GO:0042167,heme catabolic process ,Cluster_4,0.006458163,3,HMOX1;BLVRB;HMOX2;BLVRB;HMOX1;HMOX2
GO:0042254,ribosome biogenesis ,Cluster_4,0.00019742,54,LTV1;RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;POP4;RPP30;RRP1;FCF1;RPL8;NOC2L;RPL10A;RPL9;RPL6;RPL7;RRP9;RPS15;RPS14;FBL;RPS17;SAMD15;RPS16;RPS19;RPS18;RPL36;RPL35;RPL38;RPS11;RPS10;RPS13;RPP38;EIF2A;NOM1;RPS9;RPL21;RPS7;IMP3;RPS8;PIH1D1;RPS5;RPL22;RPS6;WDR74;GTF3A;WDR75;CSNK1E;EBNA1BP2;DKC1;XRN2;MRTO4;RPP21;SBDS;PIH1D2;RPL24;RPL27;RPL26;RPL29;RPP25;RPL28;UBA52;ISG20L2;NOLC1;RPF2;RPF1;RRP7A;EMG1;PDCD11;ERI1;DHX37;RRS1;LYAR;MDN1;RPL41;NOP14;PNO1;RPP40;WDR55;RCL1;RPS25;TBL3;GNL3L;LAS1L;RPS29;ZNF658;MPHOSPH10;NOL11;RPS21;RPS24;RPS23;DDX49;DDX47;PAK1IP1;RPLP1;WDR3;DIS3L;MRPS12;RPLP0;MRPL36;WDR46;WDR43;RPS4X;YAE1D1;XPO1;NOB1;RIOK2;RIOK1;UTP14A;PELP1;DIS3L2;UTP15;WDR36;DIS3;TEX10;DDX56;RPL13A;RPS3A;DDX52;GNL2;GNL1;UTP18;SENP3;DIEXF;GNL3;LSG1;NOA1;RPL37A;C1D;NAF1;DDX27;RPL12;NIP7;RPL11;RPL36A;NOC4L;NOL9;MALSU1;SDAD1;NOL6;EXOSC7;EXOSC6;EXOSC5;EXOSC10;EXOSC4;RPS15A;PES1;BMS1;EXOSC8;RPL14;RPS3;RPL13;RRP36;HEATR3;RPL15;EXOSC3;RPL18;RPS27A;RPP14;RPL17;EXOSC2;AAMP;EXOSC1;DCAF13;RPL19;NOP56;NPM1;UTP6;NOP58;UTP3;RIOK3;KRR1;WDR18;DDX31;RPL35A;RPL23A;WDR12;BYSL;TSR1;ABCE1;RAN;RPL26L1;DDX49;EBNA1BP2;EXOSC4;FBL;GTF3A;IMP3;MRPL36;MRPS12;PIH1D1;POP4;RAN;RPL10A;RPL11;RPL14;RPL15;RPL18;RPL19;RPL24;RPL26;RPL27;RPL28;RPL29;RPL30;RPL31;RPL35;RPL35A;RPL36;RPL37A;RPL38;RPL8;RPLP0;RPLP1;RPP21;RPP25;RPS11;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS21;RPS23;RPS24;RPS25;RPS27A;RPS29;RPS4X;RPS5;RPS6;RRP36;UBA52;WDR18
GO:0042254,ribosome biogenesis ,Cluster_1,1.96E-08,61,LTV1;RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;POP4;RPP30;RRP1;FCF1;RPL8;NOC2L;RPL10A;RPL9;RPL6;RPL7;RRP9;RPS15;RPS14;FBL;RPS17;SAMD15;RPS16;RPS19;RPS18;RPL36;RPL35;RPL38;RPS11;RPS10;RPS13;RPP38;EIF2A;NOM1;RPS9;RPL21;RPS7;IMP3;RPS8;PIH1D1;RPS5;RPL22;RPS6;WDR74;GTF3A;WDR75;CSNK1E;EBNA1BP2;DKC1;XRN2;MRTO4;RPP21;SBDS;PIH1D2;RPL24;RPL27;RPL26;RPL29;RPP25;RPL28;UBA52;ISG20L2;NOLC1;RPF2;RPF1;RRP7A;EMG1;PDCD11;ERI1;DHX37;RRS1;LYAR;MDN1;RPL41;NOP14;PNO1;RPP40;WDR55;RCL1;RPS25;TBL3;GNL3L;LAS1L;RPS29;ZNF658;MPHOSPH10;NOL11;RPS21;RPS24;RPS23;DDX49;DDX47;PAK1IP1;RPLP1;WDR3;DIS3L;MRPS12;RPLP0;MRPL36;WDR46;WDR43;RPS4X;YAE1D1;XPO1;NOB1;RIOK2;RIOK1;UTP14A;PELP1;DIS3L2;UTP15;WDR36;DIS3;TEX10;DDX56;RPL13A;RPS3A;DDX52;GNL2;GNL1;UTP18;SENP3;DIEXF;GNL3;LSG1;NOA1;RPL37A;C1D;NAF1;DDX27;RPL12;NIP7;RPL11;RPL36A;NOC4L;NOL9;MALSU1;SDAD1;NOL6;EXOSC7;EXOSC6;EXOSC5;EXOSC10;EXOSC4;RPS15A;PES1;BMS1;EXOSC8;RPL14;RPS3;RPL13;RRP36;HEATR3;RPL15;EXOSC3;RPL18;RPS27A;RPP14;RPL17;EXOSC2;AAMP;EXOSC1;DCAF13;RPL19;NOP56;NPM1;UTP6;NOP58;UTP3;RIOK3;KRR1;WDR18;DDX31;RPL35A;RPL23A;WDR12;BYSL;TSR1;ABCE1;RAN;RPL26L1;AAMP;DCAF13;DDX27;DDX47;DDX52;DDX56;DIS3L;EIF2A;EXOSC1;EXOSC10;EXOSC2;EXOSC3;EXOSC5;EXOSC6;EXOSC8;FCF1;GNL1;GNL3L;HEATR3;ISG20L2;LAS1L;LYAR;MPHOSPH10;MRTO4;NIP7;NOA1;NOC2L;NOC4L;NOL9;NOLC1;NOP14;NPM1;PAK1IP1;PES1;PNO1;RIOK2;RPF1;RPL22;RPL26L1;RPL34;RPL41;RPL6;RPP14;RPP30;RPP40;RPS10;RPS7;RPS9;RRP7A;RRP9;RRS1;SAMD15;SBDS;SENP3;TBL3;WDR12;WDR3;WDR46;WDR55;XPO1;YAE1D1
GO:0042254,ribosome biogenesis ,Cluster_7,0.007986487,37,LTV1;RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;POP4;RPP30;RRP1;FCF1;RPL8;NOC2L;RPL10A;RPL9;RPL6;RPL7;RRP9;RPS15;RPS14;FBL;RPS17;SAMD15;RPS16;RPS19;RPS18;RPL36;RPL35;RPL38;RPS11;RPS10;RPS13;RPP38;EIF2A;NOM1;RPS9;RPL21;RPS7;IMP3;RPS8;PIH1D1;RPS5;RPL22;RPS6;WDR74;GTF3A;WDR75;CSNK1E;EBNA1BP2;DKC1;XRN2;MRTO4;RPP21;SBDS;PIH1D2;RPL24;RPL27;RPL26;RPL29;RPP25;RPL28;UBA52;ISG20L2;NOLC1;RPF2;RPF1;RRP7A;EMG1;PDCD11;ERI1;DHX37;RRS1;LYAR;MDN1;RPL41;NOP14;PNO1;RPP40;WDR55;RCL1;RPS25;TBL3;GNL3L;LAS1L;RPS29;ZNF658;MPHOSPH10;NOL11;RPS21;RPS24;RPS23;DDX49;DDX47;PAK1IP1;RPLP1;WDR3;DIS3L;MRPS12;RPLP0;MRPL36;WDR46;WDR43;RPS4X;YAE1D1;XPO1;NOB1;RIOK2;RIOK1;UTP14A;PELP1;DIS3L2;UTP15;WDR36;DIS3;TEX10;DDX56;RPL13A;RPS3A;DDX52;GNL2;GNL1;UTP18;SENP3;DIEXF;GNL3;LSG1;NOA1;RPL37A;C1D;NAF1;DDX27;RPL12;NIP7;RPL11;RPL36A;NOC4L;NOL9;MALSU1;SDAD1;NOL6;EXOSC7;EXOSC6;EXOSC5;EXOSC10;EXOSC4;RPS15A;PES1;BMS1;EXOSC8;RPL14;RPS3;RPL13;RRP36;HEATR3;RPL15;EXOSC3;RPL18;RPS27A;RPP14;RPL17;EXOSC2;AAMP;EXOSC1;DCAF13;RPL19;NOP56;NPM1;UTP6;NOP58;UTP3;RIOK3;KRR1;WDR18;DDX31;RPL35A;RPL23A;WDR12;BYSL;TSR1;ABCE1;RAN;RPL26L1;ABCE1;BYSL;C1D;DHX37;DIS3;DKC1;EMG1;EXOSC7;GNL2;KRR1;LSG1;LTV1;MALSU1;NOB1;NOL11;NOL6;PDCD11;PELP1;PIH1D2;RIOK1;RIOK3;RPF2;RPL36A;RPL7;RPL9;RPP38;RPS3;RRP1;SDAD1;TEX10;UTP14A;UTP15;UTP18;UTP6;WDR36;WDR75;ZNF658
GO:0042255,ribosome assembly ,Cluster_4,0.003952469,15,RPL5;DDX3X;RPL3;RPS10-NUDT3;MRPS11;RPL12;RPL11;NOP2;PPAN;MPV17L2;RPS27L;RPF2;RPL6;RPF1;MRPL11;RPS15;RRP7A;RPS14;MRPL20;RPS17;SAMD15;RPS19;C1QBP;RRS1;BRIX1;RPS10;MDN1;EIF2A;NPM1;PPAN-P2RY11;RPS5;WDR18;RPL23A;ERAL1;MRPS7;NLE1;MRTO4;SBDS;RPL24;RSL24D1;C1QBP;ERAL1;MPV17L2;MRPL11;MRPL20;MRPS11;MRPS7;RPL11;RPL24;RPS14;RPS15;RPS17;RPS19;RPS5;WDR18
GO:0042273,ribosomal large subunit biogenesis ,Cluster_1,2.00E-05,21,RPL5;RPL3;PAK1IP1;PPAN;RPL10A;NOC2L;RPL6;RPL7;YAE1D1;SAMD15;RRP15;WDR37;WDR74;GTF3A;NSA2;EBNA1BP2;MRTO4;NHP2;RPL24;RPL26;NIP7;RPL12;RPL11;NOP2;MAK16;MALSU1;SDAD1;RPF2;RPF1;MRPL11;MRPL20;PES1;RPL14;RRS1;HEATR3;BRIX1;AAMP;MDN1;NPM1;PPAN-P2RY11;WDR18;RPL35A;RPL23A;WDR12;NLE1;WDR55;RSL1D1;LAS1L;RSL24D1;RPL26L1;AAMP;BRIX1;HEATR3;LAS1L;MAK16;MRTO4;NIP7;NOC2L;NPM1;PAK1IP1;PES1;RPF1;RPL26L1;RPL6;RRS1;RSL1D1;RSL24D1;SAMD15;WDR12;WDR55;YAE1D1
GO:0042274,ribosomal small subunit biogenesis ,Cluster_4,0.004358994,13,LTV1;RPS10-NUDT3;WDR3;MRPS11;TSR3;RPS27L;RPS15;RRP7A;RPS14;EMG1;RPS17;RPS16;NOB1;RPS19;RRP36;RIOK2;RIOK1;RPS10;UTP14A;UTP14C;NOM1;NOP14;NPM1;RPS7;RIOK3;RPS5;RPS6;ERAL1;MRPS7;MPHOSPH10;SRFBP1;NOL11;RPS24;ERAL1;MRPS11;MRPS7;RPS14;RPS15;RPS16;RPS17;RPS19;RPS24;RPS5;RPS6;RRP36;TSR3
GO:0042297,vocal learning ,Cluster_5,0.004020321,3,NRXN1;HTT;SHANK3;STRA6;HTT;SHANK3;STRA6
GO:0042325,regulation of phosphorylation ,Cluster_7,0.00466879,20,CDKN1C;APP;NRP1;ANKLE2;CDKN1B;MCM7;LDB1;ILK;HSPB1;AKR1B1;IKBKB;GRM5;SESN2;NUP62;ROPN1L;ATP7A;NUP214;NDC1;NUP210;NUP133;PGAM1;EMP2;MIF;DYNLL1;SIRT2;EREG;NUP93;NUP50;NDUFS4;PHIP;NUP54;ITGA6;NUP205;POM121;PRKRIP1;NLRC5;BCL10;PSEN1;AAAS;THBS1;NUP160;EGFR;PPP2CA;SDCBP;SOCS1;SRPX2;KCTD20;TPR;STAP1;NUP88;NUP43;FNIP1;RAE1;FNIP2;BARD1;LYN;RANBP2;CDKN2D;NUP155;UQCC2;PTGES3;GLMN;ECD;FN1;NUP153;INHBA;BTBD10;BMP7;PTK2;CCDC88A;FER;PINK1;CCDC88C;PLXNB2;RAD17;NUP35;NUPL2;OGT;SLC25A33;NUP37;CCDC88A;CCDC88C;ECD;EMP2;GLMN;LDB1;NDC1;NLRC5;NUP155;NUP160;NUP205;NUP50;NUPL2;PGAM1;PHIP;RAD17;RAE1;SLC25A33;TPR;UQCC2
GO:0042407,cristae formation ,Cluster_4,0.000298329,12,ATP5S;ATP5A1;ATP5C1;ATP5J;IMMT;ATP5I;ATP5G3;ATP5H;TAZ;ATP5G2;ATP5O;ATP5F1;ATP5G1;MT-ATP8;ATP5L;ATP5J2;MT-ATP6;LETM1;APOO;CHCHD3;SAMM50;ATP5E;ATP5D;APOO;ATP5D;ATP5E;ATP5F1;ATP5G2;ATP5G3;ATP5H;ATP5I;ATP5J2;ATP5L;ATP5O;CHCHD3
GO:0042448,progesterone metabolic process ,Cluster_4,0.003358035,5,SRD5A2;SRD5A1;AKR1C1;AKR1C3;AKR1C2;ADM;AKR1C4;AKR1C1;AKR1C2;AKR1C3;AKR1C4;SRD5A2
GO:0042590,antigen processing and presentation of exogenous peptide antigen via MHC class I ,Cluster_4,3.52E-05,24,NCF2;HFE;SNAP23;IFI30;PSMD8;IKBKB;PSMD9;PSMD7;PSMD4;PSMD5;PSMD2;PSMD3;PSMD1;ITGAV;CD36;IKBKG;B2M;CHUK;HLA-B;HLA-C;CYBA;HLA-A;HLA-F;HLA-G;TAPBP;HLA-E;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PSME3;PSME4;PSME1;PSME2;SEC22B;VAMP3;PSMD10;PSMD12;PSMD13;PSMB10;PSMA7;PSMA8;PSMB6;PSMB4;PSMB5;PSMB3;PSMB1;LNPEP;PSMB8;PSMC5;PSMC3;PSMC4;PSMC1;PSMC2;CALR;B2M;PSMA2;PSMA4;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB10;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMC2;PSMC3;PSMC4;PSMD10;PSMD13;PSMD3;PSMD4;PSMD8;PSME1;SNAP23
GO:0042730,fibrinolysis ,Cluster_5,0.001858482,5,FGB;FGA;CPB2;SERPINB2;PLAU;FGG;PLAUR;PLAT;F2;HRG;FGA;FGB;FGG;PLAT;SERPINB2
GO:0042742,defense response to bacterium ,Cluster_5,0.008852172,10,ANKRD17;RPL30;PPP1R11;HIST1H2BJ;IL23R;HIST1H2BK;STAB2;DEFB1;LPO;NOD1;NLRC4;CFP;S100A11P1;CXCL13;RPS19;DMBT1;DROSHA;ROMO1;LBP;IL6R;MICA;KRT6A;CHGA;GSDMC;GSDMB;SYK;ANXA3;PRKCD;ISG15;H2BFS;IRGM;HIST2H2BE;TIRAP;HLA-E;ADAM17;SLPI;TLR9;S100A9;OPTN;MYD88;HIST1H2BC;LTF;CFP;DMBT1;GSDMC;IL23R;IL6R;KRT6A;LBP;LTF;NOD1;S100A9
GO:0042742,defense response to bacterium ,Cluster_4,0.006688239,15,ANKRD17;RPL30;PPP1R11;HIST1H2BJ;IL23R;HIST1H2BK;STAB2;DEFB1;LPO;NOD1;NLRC4;CFP;S100A11P1;CXCL13;RPS19;DMBT1;DROSHA;ROMO1;LBP;IL6R;MICA;KRT6A;CHGA;GSDMC;GSDMB;SYK;ANXA3;PRKCD;ISG15;H2BFS;IRGM;HIST2H2BE;TIRAP;HLA-E;ADAM17;SLPI;TLR9;S100A9;OPTN;MYD88;HIST1H2BC;LTF;DEFB1;H2BFS;HIST1H2BC;HIST1H2BJ;HIST1H2BK;HIST2H2BE;ISG15;LPO;PPP1R11;ROMO1;RPL30;RPS19;S100A11P1;SLPI;TLR9
GO:0042743,hydrogen peroxide metabolic process ,Cluster_4,0.000755351,8,GPX1;PXDNL;CYBA;PARK7;PRDX6;SOD1;PRDX3;DUOX1;PRDX2;PRDX5;PRDX1;CAT;PXDN;GPX1;PARK7;PRDX1;PRDX2;PRDX3;PRDX5;PXDNL;SOD1
GO:0042744,hydrogen peroxide catabolic process ,Cluster_4,0.002081916,6,PRDX3;PRDX2;PRDX5;GPX1;PRDX1;CAT;PXDN;PXDNL;PRDX6;GPX1;PRDX1;PRDX2;PRDX3;PRDX5;PXDNL
GO:0042753,positive regulation of circadian rhythm ,Cluster_6,0.00924253,2,NLGN1;BTRC;ARNTL2;BTRC;NLGN1
GO:0042773,ATP synthesis coupled electron transport ,Cluster_1,0.001124986,6,NDUFB6;NDUFA12;NDUFS2;MT-CO2;NDUFV3;TAZ;NDUFV1;COQ7;COA6;NDUFA12;NDUFB6;NDUFS2;NDUFV1;NDUFV3;TAZ
GO:0042775,mitochondrial ATP synthesis coupled electron transport ,Cluster_4,5.45E-08,32,MT-ND4L;COX7B;MT-ND4;NDUFA13;MT-ND5;NDUFA11;MT-CO1;NDUFA12;COX4I1;TAZ;MT-ND3;UQCRFS1;COX8A;NDUFC1;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;SDHAF2;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;MT-CO2;UQCRC2;MT-CO3;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB10;UQCRB;NDUFB11;NDUFB5;COX15;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;NDUFV3;CYC1;NDUFV2;NDUFV1;NDUFA9;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;COQ7;UQCRQ;NDUFAB1;CYCS;NDUFAF1;COQ7;COX15;COX4I1;COX5B;COX6B1;COX7B;COX8A;CYC1;NDUFA1;NDUFA11;NDUFA13;NDUFA3;NDUFA6;NDUFA7;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB5;NDUFB7;NDUFB8;NDUFC1;NDUFS3;NDUFS5;NDUFS7;NDUFS8;UQCR10;UQCRB;UQCRH;UQCRQ
GO:0042775,mitochondrial ATP synthesis coupled electron transport ,Cluster_1,0.000116336,24,MT-ND4L;COX7B;MT-ND4;NDUFA13;MT-ND5;NDUFA11;MT-CO1;NDUFA12;COX4I1;TAZ;MT-ND3;UQCRFS1;COX8A;NDUFC1;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;SDHAF2;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;MT-CO2;UQCRC2;MT-CO3;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB10;UQCRB;NDUFB11;NDUFB5;COX15;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;NDUFV3;CYC1;NDUFV2;NDUFV1;NDUFA9;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;COQ7;UQCRQ;NDUFAB1;CYCS;NDUFAF1;COX5A;COX6C;COX7A2L;CYCS;NDUFA12;NDUFA2;NDUFA4;NDUFA5;NDUFA9;NDUFAF1;NDUFB4;NDUFB6;NDUFS1;NDUFS2;NDUFS6;NDUFV1;NDUFV3;SDHAF2;SDHD;TAZ;UQCR11;UQCRC1;UQCRC2;UQCRFS1
GO:0042776,mitochondrial ATP synthesis coupled proton transport ,Cluster_4,6.63E-06,13,ATP5S;STOML2;ATP5A1;ATP5C1;ATP5J;ATP5I;ATP5G3;ATP5H;COX5B;ATP5F1;ATP5G2;ATP5O;ATP5G1;MT-ATP8;ATP5L;ATP5J2;MT-ATP6;ATP5E;ATP5D;CYC1;ATP5D;ATP5E;ATP5F1;ATP5G2;ATP5G3;ATP5H;ATP5I;ATP5J2;ATP5L;ATP5O;COX5B;CYC1;STOML2
